List File,11.lst
Start Time,2017-05-04  09:09:35
Sampling Time,49 sec

Count,453
Particles / ml,21294

Efficiency,8.6%
PPUI,1.42

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),82.29,19.81,253.27,49.81,60.52
Aspect Ratio,0.77,0.37,1.00,0.13,17.43
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.24,0.90,0.12,17.16
Circularity (Hu),0.90,0.46,0.99,0.08,8.96
Compactness,1.81,1.01,5.37,0.67,37.05
Diameter (ABD),9.79,5.02,17.96,2.98,30.44
Diameter (ESD),11.57,5.57,21.80,3.54,30.62
Elongation,3.28,1.00,14.79,2.26,69.03
Geodesic Aspect Ratio,0.44,0.07,1.00,0.26,58.61
Geodesic Length,19.36,6.16,54.15,8.88,45.87
Geodesic Thickness,6.77,2.13,14.30,2.10,30.95
Image Height,34.66,22.00,54.00,6.78,19.57
Image Width,35.68,21.00,61.00,7.55,21.15
Intensity,158.77,99.56,192.15,13.80,8.69
Length,13.47,6.50,27.51,4.54,33.68
Perimeter,52.26,24.66,116.05,17.36,33.22
Roughness,1.29,1.04,2.08,0.22,16.73
Sigma Intensity,37.68,4.95,56.86,10.41,27.63
Sum Intensity,65747.88,15758.00,1.82e+005,33633.08,51.15
Transparency,0.15,0.05,0.39,0.06,39.39
Volume (ABD),634.81,66.31,3032.05,573.97,90.42
Width,9.29,3.19,18.20,2.75,29.62

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,0.88,0.08,188,0.02
6-7um,32,7.06,0.98,1504,0.22
7-8um,46,10.15,2.15,2162,0.48
8-9um,42,9.27,2.89,1974,0.65
0-5um,0,0.00,0.00,0.00,0.00
5-10um,168,37.09,10.14,7897,2.27
10-15um,190,41.94,37.89,8931,8.48
15-20um,90,19.87,48.00,4231,11
20-25um,4,0.88,3.85,188,0.86
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,41,9.05,3.86,1927,0.86
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

