List File,9.lst
Start Time,2017-05-04  09:05:33
Sampling Time,49 sec

Count,1377
Particles / ml,65358

Efficiency,8.5%
PPUI,2.55

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),100.67,19.60,348.33,50.29,49.96
Aspect Ratio,0.74,0.29,1.00,0.12,15.91
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.00,0.90,0.11,16.68
Circularity (Hu),0.89,0.40,0.99,0.07,8.29
Compactness,1.86,1.00,6.56,0.67,36.00
Diameter (ABD),10.98,5.00,21.06,2.76,25.18
Diameter (ESD),12.93,5.80,27.72,3.14,24.30
Elongation,3.45,1.00,18.55,2.25,65.28
Geodesic Aspect Ratio,0.40,0.05,1.00,0.22,54.97
Geodesic Length,21.65,6.25,61.25,8.37,38.69
Geodesic Thickness,7.25,1.69,15.31,2.17,29.92
Image Height,36.69,22.00,70.00,6.80,18.54
Image Width,38.67,22.00,74.00,6.62,17.12
Intensity,159.48,81.87,189.27,13.68,8.58
Length,15.13,6.11,36.49,3.98,26.30
Perimeter,57.79,24.98,132.19,15.94,27.58
Roughness,1.32,1.03,2.08,0.23,17.70
Sigma Intensity,38.86,5.21,59.02,10.69,27.51
Sum Intensity,78215.27,14157.00,2.40e+005,34248.76,43.79
Transparency,0.15,0.06,0.42,0.06,39.19
Volume (ABD),828.22,65.29,4890.57,628.64,75.90
Width,10.30,4.14,21.74,2.60,25.26

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,5,0.36,0.03,237,0.03
6-7um,27,1.96,0.22,1282,0.19
7-8um,33,2.40,0.40,1566,0.35
8-9um,55,3.99,0.98,2611,0.86
0-5um,0,0.00,0.00,0.00,0.00
5-10um,215,15.61,3.95,10205,3.46
10-15um,816,59.26,44.88,38730,39
15-20um,317,23.02,43.54,15046,38
20-25um,24,1.74,6.35,1139,5.56
25-30um,2,0.15,1.06,95,0.92
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,92,6.68,2.30,4367,2.01
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

