List File,8.lst
Start Time,2017-05-04  09:02:51
Sampling Time,47 sec

Count,989
Particles / ml,48845

Efficiency,8.5%
PPUI,2.11

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),91.43,19.81,359.82,46.61,50.98
Aspect Ratio,0.74,0.07,0.98,0.11,15.51
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.00,0.91,0.11,16.01
Circularity (Hu),0.89,0.11,0.99,0.08,9.27
Compactness,1.88,1.03,13.03,0.88,47.04
Diameter (ABD),10.49,5.02,21.40,2.54,24.24
Diameter (ESD),12.39,6.04,35.45,2.81,22.66
Elongation,3.50,1.00,38.91,2.91,83.08
Geodesic Aspect Ratio,0.41,0.03,1.00,0.22,53.31
Geodesic Length,20.54,6.52,80.98,7.55,36.74
Geodesic Thickness,7.12,1.78,14.15,2.23,31.38
Image Height,35.94,20.00,111.00,6.52,18.15
Image Width,37.14,24.00,61.00,6.26,16.85
Intensity,160.06,100.77,190.92,13.75,8.59
Length,14.52,6.97,54.88,3.56,24.55
Perimeter,55.33,26.09,166.13,14.02,25.34
Roughness,1.31,1.04,2.36,0.24,18.41
Sigma Intensity,38.96,4.07,58.11,10.65,27.34
Sum Intensity,72609.64,20639.00,2.40e+005,32307.33,44.49
Transparency,0.15,0.05,0.66,0.07,42.20
Volume (ABD),716.94,66.31,5134.33,593.78,82.82
Width,9.82,3.04,19.71,2.38,24.23

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,6,0.61,0.07,296,0.04
7-8um,27,2.73,0.55,1333,0.31
8-9um,43,4.35,1.23,2124,0.70
0-5um,0,0.00,0.00,0.00,0.00
5-10um,169,17.09,5.45,8347,3.09
10-15um,678,68.55,59.04,33485,34
15-20um,122,12.34,26.25,6025,15
20-25um,16,1.62,7.14,790,4.05
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,1,0.10,2.03,49,1.15
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,93,9.40,3.61,4593,2.05
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

