List File,1.lst
Start Time,2017-05-04  08:50:00
Sampling Time,49 sec

Count,2032
Particles / ml,96917

Efficiency,8.4%
PPUI,3.56

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),93.45,19.60,836.30,54.09,57.89
Aspect Ratio,0.73,0.19,1.00,0.12,16.90
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.67,0.00,0.97,0.12,17.79
Circularity (Hu),0.88,0.22,1.00,0.08,9.61
Compactness,1.92,1.00,10.90,0.85,44.37
Diameter (ABD),10.55,5.00,32.63,2.79,26.42
Diameter (ESD),12.53,5.68,33.89,3.17,25.29
Elongation,3.63,1.00,32.21,2.81,77.31
Geodesic Aspect Ratio,0.40,0.03,1.00,0.22,56.14
Geodesic Length,21.15,6.25,89.23,8.42,39.79
Geodesic Thickness,7.00,1.33,23.41,2.27,32.43
Image Height,36.36,21.00,91.00,6.52,17.93
Image Width,37.24,22.00,91.00,7.35,19.74
Intensity,158.35,63.67,191.74,15.13,9.55
Length,14.75,6.03,43.14,3.96,26.85
Perimeter,56.31,24.98,185.86,16.01,28.44
Roughness,1.32,1.04,2.38,0.24,18.44
Sigma Intensity,38.30,3.84,62.01,11.20,29.23
Sum Intensity,72663.74,17485.00,2.69e+005,33801.49,46.52
Transparency,0.16,0.02,0.63,0.06,39.75
Volume (ABD),754.85,65.29,18193.26,785.07,104.00
Width,9.81,3.74,33.15,2.70,27.52

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,8,0.39,0.03,382,0.04
6-7um,25,1.23,0.15,1192,0.18
7-8um,59,2.90,0.53,2814,0.64
8-9um,97,4.77,1.27,4626,1.54
0-5um,0,0.00,0.00,0.00,0.00
5-10um,362,17.81,5.07,17266,6.13
10-15um,1325,65.21,51.54,63197,62
15-20um,299,14.71,31.36,14261,38
20-25um,36,1.77,7.75,1717,9.38
25-30um,7,0.34,2.82,334,3.41
30-35um,2,0.10,1.46,95,1.76
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,170,8.37,3.04,8108,3.67
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

