List File,14.lst
Start Time,2017-05-04  09:15:49
Sampling Time,49 sec

Count,258
Particles / ml,12148

Efficiency,8.6%
PPUI,1.20

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),99.90,19.60,1140.16,94.77,94.86
Aspect Ratio,0.75,0.36,0.99,0.13,17.98
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.12,0.92,0.13,19.18
Circularity (Hu),0.89,0.56,0.99,0.09,9.84
Compactness,1.84,1.02,6.21,0.81,44.10
Diameter (ABD),10.54,5.00,38.10,4.02,38.13
Diameter (ESD),12.42,5.69,40.24,4.55,36.61
Elongation,3.36,1.00,17.45,2.70,80.39
Geodesic Aspect Ratio,0.45,0.06,1.00,0.28,61.08
Geodesic Length,20.59,6.25,72.02,10.86,52.74
Geodesic Thickness,7.26,2.07,18.08,2.53,34.89
Image Height,36.60,23.00,85.00,9.16,25.01
Image Width,36.78,22.00,89.00,8.90,24.21
Intensity,157.67,80.98,189.67,14.67,9.30
Length,14.54,6.11,41.29,5.40,37.13
Perimeter,55.71,24.98,180.20,22.09,39.65
Roughness,1.31,1.04,2.35,0.24,18.54
Sigma Intensity,37.65,8.01,66.66,10.47,27.80
Sum Intensity,74787.40,16735.00,3.43e+005,47506.87,63.52
Transparency,0.15,0.05,0.38,0.06,41.29
Volume (ABD),938.73,65.29,28960.77,1997.94,212.83
Width,9.86,4.14,38.86,3.85,39.03

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,1.55,0.11,188,0.02
6-7um,15,5.81,0.59,706,0.10
7-8um,24,9.30,1.39,1130,0.25
8-9um,27,10.47,2.26,1271,0.40
0-5um,0,0.00,0.00,0.00,0.00
5-10um,88,34.11,6.44,4144,1.15
10-15um,109,42.25,31.20,5132,5.58
15-20um,50,19.38,35.17,2354,6.29
20-25um,7,2.71,10.36,330,1.85
25-30um,3,1.16,7.84,141,1.40
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,1,0.39,8.98,47,1.61
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,17,6.59,2.02,800,0.36
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

