List File,11.lst
Start Time,2017-05-01  10:31:45
Sampling Time,49 sec

Count,3197
Particles / ml,152992

Efficiency,8.4%
PPUI,5.48

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),75.09,19.60,802.00,59.83,79.67
Aspect Ratio,0.77,0.09,1.00,0.14,17.69
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.00,0.93,0.13,17.99
Circularity (Hu),0.89,0.16,1.00,0.08,9.30
Compactness,1.79,1.02,8.85,0.57,32.06
Diameter (ABD),9.23,5.00,31.96,3.23,34.99
Diameter (ESD),10.94,5.38,40.50,3.88,35.47
Elongation,3.21,1.00,25.76,1.95,60.60
Geodesic Aspect Ratio,0.42,0.04,1.00,0.23,55.33
Geodesic Length,18.38,5.97,97.93,8.46,46.01
Geodesic Thickness,6.32,1.75,14.23,1.88,29.76
Image Height,34.48,20.00,98.00,7.88,22.86
Image Width,33.56,21.00,97.00,7.48,22.28
Intensity,156.74,89.53,191.32,15.02,9.59
Length,12.76,5.74,55.38,4.93,38.66
Perimeter,49.40,23.88,205.43,17.46,35.34
Roughness,1.25,1.04,2.17,0.15,12.36
Sigma Intensity,40.47,6.49,61.51,8.56,21.14
Sum Intensity,59174.73,15472.00,4.40e+005,35521.13,60.03
Transparency,0.16,0.05,0.57,0.05,34.72
Volume (ABD),586.06,65.29,17085.32,890.82,152.00
Width,8.73,3.04,34.09,2.93,33.59

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,58,1.81,0.18,2776,0.28
6-7um,337,10.54,1.54,16127,2.34
7-8um,392,12.26,2.71,18759,4.13
8-9um,331,10.35,3.35,15840,5.11
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1523,47.64,13.42,72883,20
10-15um,1262,39.47,39.89,60393,61
15-20um,338,10.57,25.92,16175,40
20-25um,38,1.19,7.03,1818,11
25-30um,14,0.44,4.36,670,6.65
30-35um,9,0.28,4.54,431,6.93
35-40um,3,0.09,2.48,144,3.79
40-45um,2,0.06,2.17,96,3.31
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,391,12.23,5.55,18711,8.47
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

