List File,6.lst
Start Time,2017-05-01  10:04:16
Sampling Time,49 sec

Count,4620
Particles / ml,229361

Efficiency,8.1%
PPUI,8.22

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),118.96,19.60,742.87,70.54,59.30
Aspect Ratio,0.71,0.04,1.00,0.14,19.77
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.66,0.00,0.92,0.14,20.91
Circularity (Hu),0.88,0.05,1.00,0.10,11.70
Compactness,1.90,1.00,27.59,0.98,51.70
Diameter (ABD),11.85,5.00,30.75,3.33,28.12
Diameter (ESD),13.95,5.51,43.13,3.99,28.58
Elongation,3.60,1.00,84.68,3.18,88.36
Geodesic Aspect Ratio,0.37,0.01,1.00,0.19,50.00
Geodesic Length,23.46,6.13,112.95,9.86,42.05
Geodesic Thickness,7.42,0.79,16.54,2.04,27.44
Image Height,39.91,21.00,123.00,8.67,21.73
Image Width,38.98,19.00,117.00,8.11,20.81
Intensity,156.74,86.63,193.69,16.12,10.28
Length,16.49,6.22,60.16,5.10,30.92
Perimeter,61.75,24.53,236.77,19.70,31.91
Roughness,1.28,1.03,2.45,0.18,14.33
Sigma Intensity,42.16,6.85,58.49,8.07,19.13
Sum Intensity,87818.21,14467.00,4.16e+005,44522.73,50.70
Transparency,0.15,0.04,0.80,0.06,42.87
Volume (ABD),1092.87,65.29,15231.01,1080.33,98.85
Width,10.76,1.69,31.61,3.27,30.41

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,8,0.17,0.01,397,0.04
6-7um,37,0.80,0.07,1837,0.27
7-8um,112,2.42,0.31,5560,1.28
8-9um,176,3.81,0.69,8738,2.86
0-5um,0,0.00,0.00,0.00,0.00
5-10um,609,13.18,2.57,30234,11
10-15um,2339,50.63,29.19,116120,121
15-20um,1356,29.35,41.59,67319,172
20-25um,225,4.87,14.56,11170,60
25-30um,52,1.13,6.44,2582,27
30-35um,10,0.22,1.89,496,7.81
35-40um,8,0.17,2.58,397,11
40-45um,2,0.04,0.97,99,4.03
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,275,5.95,1.49,13652,6.18
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

