List File,8.lst
Start Time,2017-05-01  10:36:06
Sampling Time,49 sec

Count,3596
Particles / ml,174077

Efficiency,8.3%
PPUI,6.25

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),105.27,19.60,768.87,63.35,60.18
Aspect Ratio,0.73,0.02,0.99,0.14,19.00
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.67,0.00,0.93,0.13,19.84
Circularity (Hu),0.88,0.04,1.00,0.10,10.84
Compactness,1.90,1.00,20.35,0.80,42.18
Diameter (ABD),11.12,5.00,31.29,3.23,29.01
Diameter (ESD),13.16,5.31,43.60,3.81,28.92
Elongation,3.62,1.00,61.91,2.63,72.81
Geodesic Aspect Ratio,0.37,0.02,1.00,0.19,51.42
Geodesic Length,22.36,5.77,119.41,8.87,39.66
Geodesic Thickness,7.00,0.89,15.53,2.05,29.23
Image Height,39.12,22.00,120.00,8.39,21.44
Image Width,36.93,19.00,100.00,7.46,20.20
Intensity,155.84,73.72,190.57,15.68,10.06
Length,15.53,5.76,60.54,4.93,31.75
Perimeter,58.72,23.10,254.36,17.90,30.48
Roughness,1.28,1.03,2.31,0.18,14.07
Sigma Intensity,40.84,3.55,61.39,9.15,22.41
Sum Intensity,78634.81,14140.00,4.53e+005,40041.83,50.92
Transparency,0.15,0.05,0.83,0.06,40.14
Volume (ABD),913.67,65.29,16037.87,899.85,98.49
Width,10.25,1.25,29.18,2.98,29.06

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,14,0.39,0.03,678,0.07
6-7um,64,1.78,0.18,3098,0.47
7-8um,131,3.64,0.53,6342,1.42
8-9um,207,5.76,1.25,10021,3.30
0-5um,0,0.00,0.00,0.00,0.00
5-10um,718,19.97,4.44,34757,12
10-15um,1824,50.72,34.28,88297,91
15-20um,894,24.86,41.63,43277,110
20-25um,116,3.23,11.15,5615,30
25-30um,20,0.56,3.67,968,9.72
30-35um,10,0.28,3.14,484,8.32
35-40um,0,0.00,0.00,0.00,0.00
40-45um,2,0.06,1.46,97,3.87
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,292,8.12,2.41,14135,6.40
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

