List File,9.lst
Start Time,2017-05-01  10:17:56
Sampling Time,49 sec

Count,3676
Particles / ml,178837

Efficiency,8.3%
PPUI,6.42

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),101.56,19.60,965.17,71.81,70.70
Aspect Ratio,0.75,0.09,1.00,0.13,17.65
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.00,0.91,0.13,18.36
Circularity (Hu),0.89,0.13,0.99,0.08,9.51
Compactness,1.89,1.02,13.10,0.71,37.26
Diameter (ABD),10.82,5.00,35.06,3.48,32.18
Diameter (ESD),12.75,5.59,42.46,4.07,31.88
Elongation,3.58,1.00,39.13,2.35,65.58
Geodesic Aspect Ratio,0.37,0.03,1.00,0.21,54.99
Geodesic Length,21.98,6.16,116.09,9.84,44.74
Geodesic Thickness,6.84,1.68,14.65,1.96,28.60
Image Height,37.00,20.00,104.00,8.08,21.84
Image Width,37.50,22.00,102.00,8.15,21.74
Intensity,158.89,88.17,211.60,14.59,9.18
Length,14.88,5.98,55.11,4.97,33.42
Perimeter,57.65,24.66,246.34,20.01,34.70
Roughness,1.29,1.04,2.30,0.18,14.21
Sigma Intensity,40.81,4.45,62.22,8.23,20.17
Sum Intensity,77580.55,16833.00,5.26e+005,44458.62,57.31
Transparency,0.15,0.06,0.68,0.05,36.06
Volume (ABD),893.57,65.29,22556.30,1169.18,130.84
Width,10.18,2.47,37.95,3.33,32.75

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,24,0.65,0.05,1168,0.12
6-7um,156,4.24,0.43,7589,1.12
7-8um,206,5.60,0.86,10022,2.25
8-9um,235,6.39,1.43,11433,3.74
0-5um,0,0.00,0.00,0.00,0.00
5-10um,933,25.38,5.40,45390,14
10-15um,1767,48.07,34.01,85964,89
15-20um,830,22.58,39.10,40379,102
20-25um,87,2.37,8.65,4233,23
25-30um,28,0.76,5.53,1362,14
30-35um,5,0.14,1.53,243,4.00
35-40um,5,0.14,2.67,243,6.96
40-45um,4,0.11,2.82,195,7.35
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,309,8.41,2.61,15033,6.81
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

