List File,16.lst
Start Time,2017-04-30  12:13:08
Sampling Time,47 sec

Count,2268
Particles / ml,112963

Efficiency,8.5%
PPUI,4.15

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),82.65,19.60,957.18,67.46,81.63
Aspect Ratio,0.76,0.17,1.00,0.13,17.40
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.00,0.91,0.12,17.19
Circularity (Hu),0.89,0.32,0.99,0.08,9.07
Compactness,1.88,1.07,7.59,0.69,36.77
Diameter (ABD),9.62,5.00,34.91,3.57,37.09
Diameter (ESD),11.40,5.54,43.34,4.17,36.54
Elongation,3.54,1.00,21.79,2.32,65.52
Geodesic Aspect Ratio,0.39,0.05,1.00,0.23,58.60
Geodesic Length,19.96,6.16,122.46,10.16,50.90
Geodesic Thickness,6.27,1.95,13.09,1.90,30.26
Image Height,34.86,21.00,99.00,8.06,23.11
Image Width,34.69,21.00,90.00,8.27,23.83
Intensity,159.44,84.71,188.28,15.09,9.47
Length,13.22,5.88,47.03,5.04,38.10
Perimeter,52.46,24.66,264.50,20.84,39.73
Roughness,1.28,1.04,2.63,0.19,14.56
Sigma Intensity,40.21,7.78,60.90,7.73,19.21
Sum Intensity,65189.77,18076.00,5.78e+005,42132.82,64.63
Transparency,0.16,0.06,0.41,0.05,33.77
Volume (ABD),684.61,65.29,22277.04,1023.20,149.46
Width,9.19,3.02,38.16,3.43,37.27

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,46,2.03,0.18,2291,0.24
6-7um,235,10.36,1.32,11705,1.70
7-8um,270,11.90,2.29,13448,2.94
8-9um,219,9.66,2.69,10908,3.45
0-5um,0,0.00,0.00,0.00,0.00
5-10um,961,42.37,9.72,47865,12
10-15um,892,39.33,35.33,44428,45
15-20um,358,15.78,35.55,17831,46
20-25um,33,1.46,6.88,1644,8.85
25-30um,8,0.35,2.92,398,3.76
30-35um,7,0.31,4.79,349,6.16
35-40um,3,0.13,2.93,149,3.76
40-45um,1,0.04,1.65,50,2.12
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,182,8.02,3.15,9065,4.05
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

