file_name,replicate,sample_day,cell_density,start_time,cell_volume
data-raw/flowcam-summaries-may3/8_summary,8,lst,61073,2017-05-03  09:34:30,825.06
data-raw/flowcam-summaries-may3/9_summary,9,lst,60833,2017-05-03  09:36:02,962.24
data-raw/flowcam-summaries-may3/stock_summary,stock,lst,348031,2017-05-03  10:24:21,282.09
data-raw/flowcam-summaries-may4/1_summary,1,lst,96917,2017-05-04  08:50:00,754.85
data-raw/flowcam-summaries-may4/10_summary,10,lst,13162,2017-05-04  09:07:00,832.04
data-raw/flowcam-summaries-may4/11_summary,11,lst,21294,2017-05-04  09:09:35,634.81
data-raw/flowcam-summaries-may4/12_summary,12,lst,15000,2017-05-04  09:12:31,607.20
data-raw/flowcam-summaries-may4/13_summary,13,lst,25753,2017-05-04  09:14:10,532.61
data-raw/flowcam-summaries-may4/14_summary,14,lst,12148,2017-05-04  09:15:49,938.73
data-raw/flowcam-summaries-may4/15_summary,15,lst,17640,2017-05-04  09:17:20,576.00
data-raw/flowcam-summaries-may4/15.2_summary,16,4,23457,2017-05-05  08:44:43,730.79
data-raw/flowcam-summaries-may4/16_summary,16,lst,4426,2017-05-04  09:18:45,973.33
data-raw/flowcam-summaries-may4/16.2_summary,16,2,8330,2017-05-05  08:27:27,1470.07
data-raw/flowcam-summaries-may4/16.3_summary,16,3,6922,2017-05-05  08:43:09,1326.06
data-raw/flowcam-summaries-may4/2_summary,2,lst,45611,2017-05-04  08:51:43,729.75
data-raw/flowcam-summaries-may4/3_summary,3,lst,32639,2017-05-04  08:53:13,576.62
data-raw/flowcam-summaries-may4/4_summary,4,lst,35039,2017-05-04  08:54:48,619.57
data-raw/flowcam-summaries-may4/5_summary,5,lst,58522,2017-05-04  08:56:30,620.06
data-raw/flowcam-summaries-may4/6_summary,6,lst,63044,2017-05-04  08:58:21,673.77
data-raw/flowcam-summaries-may4/7_summary,7,lst,72739,2017-05-04  08:59:47,601.31
data-raw/flowcam-summaries-may4/8_summary,8,lst,48845,2017-05-04  09:02:51,716.94
data-raw/flowcam-summaries-may4/9_summary,9,lst,65358,2017-05-04  09:05:33,828.22
data-raw/flowcam-summaries-may4/stock_summary,stock,lst,345737,2017-05-04  09:20:15,265.38
data-raw/flowcam-summaries-may5/1_summary,1,lst,135907,2017-05-05  09:33:48,894.62
data-raw/flowcam-summaries-may5/10_summary,10,lst,78157,2017-05-05  09:22:20,1172.67
data-raw/flowcam-summaries-may5/11_summary,11,lst,126497,2017-05-05  09:24:28,1000.38
data-raw/flowcam-summaries-may5/12_summary,12,lst,85474,2017-05-05  09:25:56,1125.57
data-raw/flowcam-summaries-may5/13_summary,13,lst,82863,2017-05-05  09:27:21,1073.58
data-raw/flowcam-summaries-may5/14_summary,14,lst,80236,2017-05-05  09:28:45,1396.70
data-raw/flowcam-summaries-may5/15_summary,15,lst,212418,2017-05-05  09:30:13,958.19
data-raw/flowcam-summaries-may5/16_summary,16,lst,69998,2017-05-05  09:31:40,1531.72
data-raw/flowcam-summaries-may5/2_summary,2,lst,695795,2017-05-05  09:38:10,725.44
data-raw/flowcam-summaries-may5/3_summary,3,lst,150516,2017-05-05  09:36:40,817.13
data-raw/flowcam-summaries-may5/4_summary,4,lst,207152,2017-05-05  09:43:00,908.05
data-raw/flowcam-summaries-may5/5_summary,5,lst,248607,2017-05-05  09:44:29,886.19
data-raw/flowcam-summaries-may5/6_summary,6,lst,258537,2017-05-05  09:45:58,877.10
data-raw/flowcam-summaries-may5/7_summary,7,lst,518860,2017-05-05  09:47:37,845.03
data-raw/flowcam-summaries-may5/8_summary,8,lst,403465,2017-05-05  09:52:05,954.41
data-raw/flowcam-summaries-may5/9_summary,9,lst,190498,2017-05-05  09:20:56,941.07
data-raw/flowcam-summaries-may5/stock_summary,stock,lst,492282,2017-05-05  09:50:34,311.41
