List File,16.lst
Start Time,2017-05-05  09:31:40
Sampling Time,49 sec

Count,1465
Particles / ml,69998

Efficiency,8.4%
PPUI,2.72

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),145.71,19.60,936.38,98.30,67.46
Aspect Ratio,0.72,0.15,0.99,0.14,19.93
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.63,0.00,0.91,0.16,24.67
Circularity (Hu),0.86,0.17,0.99,0.13,14.82
Compactness,2.33,1.03,8.96,1.26,54.14
Diameter (ABD),12.91,5.00,34.53,4.36,33.77
Diameter (ESD),15.43,5.60,42.13,5.14,33.29
Elongation,5.00,1.00,26.12,4.10,82.11
Geodesic Aspect Ratio,0.33,0.04,1.00,0.22,65.80
Geodesic Length,29.70,6.25,124.12,16.68,56.17
Geodesic Thickness,7.17,1.50,15.37,2.43,33.85
Image Height,41.36,18.00,96.00,10.91,26.37
Image Width,42.59,21.00,104.00,9.57,22.47
Intensity,163.01,99.80,220.73,16.17,9.92
Length,17.94,5.97,49.46,5.84,32.55
Perimeter,73.74,24.98,263.21,32.69,44.34
Roughness,1.39,1.04,2.63,0.30,21.37
Sigma Intensity,40.86,3.24,59.64,9.22,22.57
Sum Intensity,1.08e+005,20094.00,5.52e+005,62742.22,58.28
Transparency,0.16,0.05,0.63,0.08,47.86
Volume (ABD),1531.72,65.29,21554.80,1651.64,107.83
Width,12.28,2.00,38.07,4.75,38.68

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,9,0.61,0.02,430,0.05
6-7um,30,2.05,0.11,1433,0.20
7-8um,34,2.32,0.20,1625,0.36
8-9um,52,3.55,0.44,2485,0.81
0-5um,0,0.00,0.00,0.00,0.00
5-10um,205,13.99,1.73,9795,3.15
10-15um,524,35.77,14.61,25037,27
15-20um,474,32.35,34.34,22648,63
20-25um,191,13.04,28.23,9126,52
25-30um,58,3.96,15.20,2771,28
30-35um,4,0.27,1.88,191,3.43
35-40um,1,0.07,0.76,48,1.38
40-45um,3,0.20,3.05,143,5.56
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,79,5.39,0.94,3775,1.72
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

