List File,5.lst
Start Time,2017-05-03  09:26:56
Sampling Time,49 sec

Count,2290
Particles / ml,110856

Efficiency,8.3%
PPUI,4.10

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),89.81,19.60,570.81,53.35,59.40
Aspect Ratio,0.73,0.04,1.00,0.19,26.64
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.64,0.00,0.95,0.20,31.16
Circularity (Hu),0.84,0.03,1.00,0.19,22.54
Compactness,2.48,1.02,28.67,2.47,99.63
Diameter (ABD),10.27,5.00,26.96,2.97,28.91
Diameter (ESD),12.96,5.68,43.79,4.77,36.83
Elongation,5.43,1.00,88.07,7.89,145.26
Geodesic Aspect Ratio,0.38,0.01,1.00,0.26,68.97
Geodesic Length,23.99,6.33,121.77,14.81,61.73
Geodesic Thickness,6.42,0.73,28.61,2.56,39.94
Image Height,37.53,18.00,138.00,11.18,29.80
Image Width,37.27,18.00,129.00,9.47,25.41
Intensity,165.86,97.56,226.45,17.57,10.59
Length,15.55,5.98,68.51,6.86,44.14
Perimeter,60.81,25.31,249.49,27.71,45.56
Roughness,1.31,1.04,2.48,0.25,19.25
Sigma Intensity,37.87,2.41,57.36,11.99,31.65
Sum Intensity,73821.51,16538.00,3.56e+005,37761.94,51.15
Transparency,0.18,0.03,0.85,0.12,66.30
Volume (ABD),718.59,65.29,10258.84,689.94,96.01
Width,9.61,2.05,30.61,3.54,36.88

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,11,0.48,0.03,532,0.05
6-7um,56,2.45,0.21,2711,0.40
7-8um,97,4.24,0.56,4696,1.06
8-9um,172,7.51,1.46,8326,2.76
0-5um,0,0.00,0.00,0.00,0.00
5-10um,628,27.42,5.62,30401,11
10-15um,1020,44.54,25.43,49377,48
15-20um,487,21.27,31.27,23575,59
20-25um,70,3.06,10.14,3389,19
25-30um,20,0.87,5.49,968,10
30-35um,22,0.96,9.27,1065,18
35-40um,7,0.31,4.74,339,8.96
40-45um,8,0.35,7.88,387,15
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,290,12.66,3.34,14038,6.32
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

